	medial_rectus	longissimus_cervicis	SCM	RCP_major	RCP_minor	ADM	abductor_pollicis	adductor_pollicis	biceps_brachii	brachioradialis	deltoideus	interossei_dors	FDP	FPB	palmaris_long	pronator_quadratus	pronator_teres	lumbricales	ODM	opponens_pollicis	interossei_palmares	triceps_brachii	SIBL	anconeus	super_rectus	brachialis	FCR	FDS	ECRB	FCU	FDMB	diaphragm	rectus_abdominis	subscapularis	intercostales	infer_rectus	latissimus_dorsi	pectoralis_major	psoas	rhomboideus	serratus_ant	trapezius	iliocostalis_lumborum	longissimus_thoracis	adductor_brev	adductor_long	super_oblique	adductor_magnus	biceps_femoris	EDB	EDL	EHL	FDL	FHL	gracilis	gastrocnemius_caput_lat	gastrocnemius_caput_mediale	infer_oblique	peroneus_brev	peroneus_long	rectus_femoris	sartorius	semimembranosus	semitendinosus	soleus	tibialis_ant	tibialis_post	vastus_intermed	pterygoideus_lat	vastus_lat	vastus_medial	gluteus_max	gluteus_med	gluteus_min	temporalis	lingua
RUNX2.1.S.B_besthit	0.008759401544898786	0.003116493434271983	0.005077521983729978	0.003626440015805969	0.0037715509443618286	0.005106396035162682	0.0034286211053440106	0.00429818690852283	0.002958270228881956	0.003691836154722934	0.0043730673018950094	0.003376104522479184	0.003625577681484466	0.005029851345850266	0.00403832487482595	0.0031563776164790338	0.0033193294829550646	0.0037453945109693627	0.003978732323326673	0.004339442172168141	0.0040084716227130725	0.0030978822983155816	0.0029500042715969246	0.002869839125225075	0.008054181590748043	0.0032965712780915787	0.0036680469568803795	0.0036346365785949897	0.003293267267609428	0.004157697179611196	0.0041868794975884	0.006222746770290574	0.0040518356669682065	0.003450616515224145	0.0037844629784011805	0.008613340542763288	0.0041473530490665845	0.0047033628308746755	0.003900651946436566	0.0033567121061130736	0.0031051733915853615	0.0035393628264618108	0.003596572169833557	0.0043648393823120584	0.0030615855814626553	0.0027130296464800818	0.005992333738681038	0.003982992782582223	0.003195362106834039	0.005371500675589699	0.003551085310998529	0.0039029974773867587	0.0041465862060005906	0.0038426395712019474	0.0030362503327892323	0.003910553756819344	0.004058878516602879	0.007641236182800022	0.0036246126189300827	0.0035110610353217132	0.00343378593334329	0.0035876304016830124	0.003275952100701582	0.003176977846950537	0.00394765302315946	0.004119163044513576	0.004181646429199174	0.003064661023358524	0.005630164748683176	0.0031261231133680213	0.003886545702254298	0.004289604122834544	0.004273548776059382	0.003322265516475259	0.004151618807856314	0.00758214186005151
RUNX2.0.P.B_besthit	0.008816553079013653	0.003111979827242591	0.005346582304976755	0.0036399602575057145	0.003779458195287159	0.005161616746708892	0.0034505623539779246	0.004438647046380344	0.003055508847582103	0.0037891854573667534	0.004560099753031911	0.003389285927696649	0.00362080324597239	0.005116331995133911	0.004066478860317268	0.0031863085932981442	0.0033303736155556166	0.003759623622789966	0.004055584181917504	0.004416025397316982	0.004048994779141482	0.0030930713336220963	0.0029510357175488422	0.002873211689330195	0.008345073763865687	0.003354336182819963	0.0037625897971562323	0.003713827056229252	0.003306149651669967	0.004303341041231039	0.004285083950231444	0.006736851705748965	0.004106295037691507	0.003489839863106788	0.003861713735596612	0.008587932659338276	0.0042490930841417255	0.004879303566081461	0.003984141210750404	0.0033916996584155857	0.0030867937593965426	0.0035462892723068964	0.003544967043761549	0.004470679239059729	0.003085326778639403	0.002708208544766241	0.006051017407562115	0.004045289022187835	0.003272685741194375	0.005295105047975514	0.0036407726681674936	0.00401599563202911	0.004191800636764404	0.0039125858461565985	0.0030649373242580893	0.003944318584727227	0.004135374160281695	0.007796806118635667	0.00364370035974674	0.0035728541953830998	0.003454477153135721	0.003617976277240337	0.0033000735632103253	0.0031897296785750946	0.004013344428804603	0.004191346996449261	0.004237579741855179	0.0030680333881768387	0.005696568481983749	0.0031312456880506147	0.003953224704171171	0.004423218652483696	0.004460823327369323	0.0033307542378349085	0.0042146890298755645	0.007643629643818134
RUNX1.0.P.B_besthit	0.008050139148774447	0.0031752413813139623	0.0055414257588411765	0.003576132775462658	0.003647510701446549	0.0052908723412742435	0.003426271165594355	0.004682942218204405	0.0032174224571827267	0.003994052139961951	0.004684995661429505	0.003499446653336487	0.0034861877191425415	0.005098684108762597	0.003944010175227631	0.0030917208134486145	0.003213371119275342	0.003721004637487606	0.004081227658634835	0.004317554311809856	0.004053572778632363	0.0030534153752218083	0.002992244833120528	0.0029492917982590996	0.007869149505646725	0.003564569134630717	0.004030561855496709	0.003947132358719672	0.003482980644974028	0.004461349541057307	0.004400204786880481	0.006895328451018083	0.00414710147224072	0.0035297278717425014	0.0038918482579576386	0.007639448969641045	0.00457584654701194	0.005307558162520116	0.004195090197587297	0.0036070145868005265	0.003068713076788833	0.0036584618056044412	0.0033441872826883265	0.0045271375234767364	0.0033622034604422267	0.0029532900515542226	0.0057674158007033315	0.004254776620097725	0.0034537323055147395	0.0047247229163763	0.003847169647611473	0.004103241591830665	0.0040557934523783494	0.004014896452213359	0.0031678675110536655	0.0038749488957727112	0.003998801596901447	0.0072824987456528165	0.0037358385789761387	0.0036179269442890597	0.00357018965998313	0.003633925232930238	0.0034136302509137103	0.0033284993459437775	0.00413925818217015	0.004083166945294898	0.004272622627903289	0.0031873607261804606	0.005743081587880605	0.003300922824533717	0.004033055052151378	0.004252381079891578	0.0046255206277054555	0.0034270392529134937	0.00434348518693779	0.007013960328606297
MAX.1.M.C_besthit	0.008448952355433938	0.003270984789101796	0.005260370409397688	0.0038768165986707527	0.0038589440421476166	0.005488350863622141	0.003635441798539358	0.004693696814386203	0.0031659335430550923	0.003923058674350422	0.004651840289639979	0.0035904090994316835	0.004165474787260669	0.005192940083769618	0.004695605762907295	0.0035242528915969094	0.0035402981545075997	0.003910882509806445	0.004150599000906217	0.004612306337348957	0.00450106722577068	0.0032269385450429846	0.0032850551455777676	0.003158645343754432	0.008271015805154337	0.0035842269249580228	0.0039815495370200795	0.003913779177626136	0.00361901862614134	0.004623606436366247	0.00441757286348737	0.006390084684148943	0.0040403600270981655	0.0035433667030995127	0.0037467294772612673	0.00896728697290375	0.0045236819168832125	0.005000161159657495	0.004261039700989183	0.0035495476406362378	0.003276257378287505	0.003821308736792469	0.00360856756762923	0.004437459272371236	0.0032324758917200926	0.0028117061945665822	0.006341722572485079	0.004142566872966773	0.00344857738604065	0.00491920127230081	0.0037662790883098095	0.0038086701800137753	0.004131741050214804	0.0037983043056772684	0.003212441614589279	0.004226996094327226	0.004192841881269229	0.007941055802482277	0.003844265015225724	0.0035448355203827183	0.003623106706524539	0.003644872522894749	0.003532452174302229	0.003249881293820332	0.0042188033073950314	0.004197508296707017	0.004228227598972805	0.0032823805152146514	0.006011809363130787	0.0033382486080547414	0.004203856880964812	0.004516195921021922	0.00433913823093442	0.003543979489112272	0.00455797727761483	0.007403401525125211
CLOCK.0.M.C_besthit	0.008328128233703165	0.0033830201801379168	0.005501040278379622	0.004019636574719857	0.004029833922441693	0.005450663954512727	0.0036403380386565553	0.004821575217518524	0.0032885407760184365	0.003963011322659232	0.004924994974941134	0.003696191626210869	0.004294369223873736	0.005308524895534711	0.004808934983252265	0.0036273111174986027	0.003610035133727124	0.003949391500390856	0.004269531538072403	0.004748037864853058	0.004559295878146033	0.0033022362456686786	0.0033633339806188474	0.0032656300755090793	0.008382106764924324	0.003765798306752097	0.004143857881392148	0.004038246118451911	0.003697393227587137	0.004884729239547063	0.004627734733791413	0.006800473586122834	0.0042303118739873405	0.0036797109683940244	0.0038632419990546635	0.00880653487983338	0.004671159045358666	0.0052444388117194865	0.004273171255042861	0.0036924120401621054	0.003329861990519309	0.0038691458321698526	0.003607419787280639	0.004542806243240272	0.003376018569260398	0.0028878225262357927	0.0064341529226636255	0.004213512778245513	0.00358103704832492	0.004792788582431263	0.003993373200293929	0.0039906402576818205	0.004195627111652359	0.003963895260474269	0.0033086651388336717	0.0043642932211890115	0.004265773085389251	0.008114889855487372	0.003948047315213413	0.0036336604071072203	0.0037101970963001737	0.003683944239038507	0.003677095478006295	0.003410208186813214	0.004247992203611901	0.0042611220526553245	0.004371307519380348	0.003401037358624692	0.005916290650784272	0.0034671863973088045	0.00439692825372276	0.004706510409858427	0.0045287120918790355	0.003664312433723641	0.004758981642134694	0.007595501958099019
NPAS2.1.M.D_besthit	0.008802376966093404	0.003445531481131854	0.005605474114442684	0.0040213089205888754	0.004033153146739189	0.005527460916608839	0.0035489061605324806	0.004646500170996491	0.0033163498190543254	0.003962247085154339	0.004886928526239608	0.003499387443584835	0.004303589874549624	0.0051029139883140995	0.00468241685049078	0.0035577529605713676	0.0035913195663196365	0.0038605560941357866	0.004190327189626528	0.004666832848298367	0.004379191399139038	0.003298230535367111	0.003315021186574444	0.0031604269517180343	0.008776099019571004	0.0037312141590164693	0.0040851552127138	0.003917220072698314	0.003599416786660944	0.004799006116544508	0.004470990219009829	0.007186666491904305	0.004178844268119694	0.003761696945730472	0.00395596308160383	0.008828285029855035	0.004772684596973316	0.005447913076749972	0.0043882568187311915	0.0038963120799432025	0.0033205543064534072	0.003876988517420744	0.0038701279534138003	0.00476677441530401	0.0034011381866591666	0.002872861589141367	0.0065277137661032955	0.004294978555269426	0.003468067696794321	0.004783182744386608	0.003837670869635519	0.003782818946452671	0.00410082630456824	0.0039293042183550005	0.003337642735850364	0.004489762405112347	0.004388332856060305	0.00834322157852901	0.00377734636213522	0.0034244750215022737	0.003743691836378057	0.0037257270751229472	0.0037891862012287294	0.0034154725589173483	0.004072114092772415	0.0041079702772193515	0.004320591883326312	0.0034759581561613425	0.005739170655855788	0.0033560957146300447	0.004441735481940727	0.004648645488085586	0.004598234240308488	0.0037853085794468163	0.004577468854635317	0.007533769400601034
BMAL1.0.PSM.A_besthit	0.008103924244955487	0.003439579256426595	0.005572359046296425	0.004045661763706313	0.004030993534448865	0.005334407503866694	0.0038115414054770264	0.005085496967748896	0.003362438740495032	0.004048694514997701	0.0049482687420738455	0.0037404334314703695	0.004419518788600094	0.005489962162906947	0.004923740947330211	0.0037158374873066495	0.003703603221307734	0.004072337054387471	0.0043483850893193884	0.004832301740645717	0.004709461712832583	0.0033118542199108043	0.0034793906463803388	0.0033475161539943776	0.00802989290957175	0.003789653517357841	0.004172404269944051	0.004081737565239365	0.003766231219476138	0.004981346865473544	0.004689724853740058	0.006567465958937098	0.004395267413592492	0.003758270761474696	0.003945350835410387	0.008615812954054537	0.004696711686288336	0.005342368761251068	0.004324774699818976	0.0037692738552371173	0.003421047839206462	0.003931129094611632	0.0037872980641243926	0.004686650291690418	0.003438341382813993	0.0029267928677899624	0.006204774746334549	0.0042603740197289346	0.0036371787481205495	0.004843257656646948	0.0039362635643746995	0.003956440484075049	0.004183496062486107	0.004003061521372315	0.0034368898050637525	0.004397338819348518	0.004328363015095357	0.007706672502345757	0.004020877622716012	0.003667399967515167	0.003719410654384618	0.003801401146158787	0.003767964894997734	0.003434247970765995	0.004381833697441124	0.004256981909530307	0.004357655901320072	0.003489586161524368	0.006038120330134639	0.003464182163415297	0.004523809197231622	0.004854054103070572	0.004619751173546687	0.0038117663195841576	0.004734492568889445	0.007157860938676909
USF2.0.PSM.A_besthit	0.008266387411673268	0.003418087439663545	0.005512862703841219	0.003961278731824565	0.003953954415185683	0.0054263514683968676	0.003651873577965634	0.004676198046247909	0.0031468058143853997	0.003799229598726962	0.004682504591534496	0.003654954834171845	0.004143118801784101	0.005305918333621947	0.004676399346968298	0.003519432889963222	0.0035566783498437995	0.0039303021318043575	0.004255510376008422	0.004708505507951313	0.00448851897472752	0.0032202170195348282	0.003240480497033607	0.0032215796400533983	0.00830372307949638	0.0035887511639518463	0.004036222530079518	0.003930428402010656	0.0036483053422584322	0.004602339331080603	0.004520451204818137	0.0066306494806302385	0.004281673235916185	0.003690088460034245	0.003871014403751021	0.008821424470436923	0.004575746787485955	0.00513988888441364	0.004232590137935017	0.0037156769577732845	0.0033538763995627505	0.003976213875358837	0.0038356743380365864	0.0046073480877660425	0.0033612391421415	0.0029514836212299334	0.006356164212647789	0.004406538015759422	0.0035256413079504173	0.004936109982702662	0.0038369701157002205	0.0038654066891762573	0.004286166918052347	0.003905818425325186	0.0032174449332996557	0.004276954960054156	0.004216394065651109	0.007968848516156106	0.0038415497474464564	0.0035151412804212802	0.003662669790828892	0.00368812557362683	0.003648441446007814	0.0033478944645365157	0.004258651048260677	0.004298904012680545	0.004461242829807163	0.003348343803405913	0.005719235315063983	0.0033925804848230654	0.004207266129896465	0.004736844793830908	0.004383506343894354	0.003651146835038577	0.004584349171498676	0.007396644820156454
ARNT2.0.P.B_besthit	0.0073564693309355715	0.002883008031286295	0.004417017550932987	0.003445558219462855	0.003342183228109798	0.004839160477353458	0.0032439381339889875	0.004048394848102882	0.0026349296387047955	0.003230076480998775	0.003946464224809177	0.0032945728099214072	0.0038024013911488372	0.004649670502079871	0.00406429464411237	0.0030363529534230206	0.003111921212261795	0.0035704459309232974	0.0036423951662507732	0.00407682954289501	0.004057952479261695	0.00289217753380216	0.0029442191682984876	0.0028506507513579213	0.006963792235308358	0.0030833502565140343	0.0035129607460498108	0.003446829656741086	0.0031629307951672866	0.0038771657885423535	0.004009732011007861	0.004967368958579741	0.0037119849254020993	0.003180744378457262	0.0032297850292541796	0.00768290374532579	0.003990141334028697	0.004358966140021565	0.003556053478250549	0.0030457885926493435	0.0029701809684670316	0.0033560955237792196	0.0033789423269306017	0.0038088880984568927	0.0029678629866843036	0.002642835513082536	0.0056208943449220115	0.003742023528694563	0.0028802579822721727	0.0044803434084305606	0.0032197632067525583	0.0032387491000300983	0.0035869677934463693	0.003258500706709873	0.0027733290144765555	0.0038308412241237176	0.0036549169422211243	0.00673998031311241	0.003329683488869897	0.003047085233486177	0.0032818037978967	0.003079742375242299	0.003148429931669591	0.003031971117447208	0.003580407601989265	0.0035934137951455798	0.0038101356553483525	0.0030322148183668054	0.00500763366675995	0.0029949418008568996	0.003592396522439703	0.003735533861116722	0.003571844778206232	0.003236033727450824	0.004018627852501249	0.006041280762838376
MLX.0.PM.A_besthit	0.007496620664595679	0.0032178780772299975	0.0049261082958819945	0.003682848290045456	0.0037631836658503703	0.005126549704410289	0.0034369622683688315	0.0043864126756502425	0.002958465627635425	0.0036324203076468615	0.004364401637723916	0.003475840837339389	0.003925955342222068	0.0049847731343847	0.004377378496660574	0.003249191817705957	0.003341484755903665	0.003711951725682859	0.003933773896564879	0.004353768425815413	0.004249749299294148	0.0031208893101643724	0.0031402117019786735	0.0030713064391601403	0.007267083492393482	0.0034058751580890744	0.0037180272595378765	0.003678355678863745	0.003454806757092697	0.0042417226531357485	0.004197011645302038	0.005842019545473222	0.003968594734044775	0.0033647092927357046	0.0036742566255987385	0.007853055297321821	0.00423768693462202	0.004742122098120245	0.003977691983463607	0.0034861635311688724	0.003205689463000947	0.003773891539718422	0.0036803711319540627	0.00418706532049196	0.003196299741968952	0.002834193589116783	0.005806523499845398	0.00407187859431245	0.0033038815616340082	0.004796274853474407	0.0036276419562173957	0.003667174035646162	0.004047549841391984	0.003737304808096209	0.0031465685191327778	0.0040394372540660944	0.003969401450736231	0.007100353887770152	0.003759778666478441	0.003369807743885588	0.0034792495578065304	0.003431701627654401	0.0034513498206670233	0.003167841985821446	0.004036170305388067	0.003979539789777202	0.0040890964544998375	0.0031620367519977514	0.005597295664861557	0.00321550342447778	0.003973544513150803	0.0042975528202238876	0.004098805504050264	0.0034949975430476174	0.004344448242585479	0.006932139745356119
