	p-value	FDR
RUNX2.1.S.B_besthit	0.7409196118936991	0.9999999999999999
RUNX2.0.P.B_besthit	0.2825933630773406	0.508637253843779
RUNX1.0.P.B_besthit	0.7080293098615761	0.9999999999999999
MAX.1.M.C_besthit	8.317480779553543e-16	7.290452718078236e-15
CLOCK.0.M.C_besthit	1.9720822826594064e-18	2.1374827321727758e-17
NPAS2.1.M.D_besthit	7.880270884539568e-16	6.967818466329724e-15
BMAL1.0.PSM.A_besthit	0.01940703056741761	0.04794678140185527
USF2.0.PSM.A_besthit	0.1415820184379392	0.2831640368758784
ARNT2.0.P.B_besthit	0.5343966331586816	0.8646417435376421
MLX.0.PM.A_besthit	0.9766621812244687	0.9999999999999999
MLX.1.SM.B_besthit	0.6602130894404494	0.9999999999999999
MLXPL.0.S.D_besthit	0.00021225377016700247	0.0006969114017209724
TFE3.0.PSM.A_besthit	1.3679487848553878e-07	5.867627128230769e-07
TFEC.1.SM.D_besthit	4.767668112423519e-11	2.7151465860581396e-10
MITF.0.P.B_besthit	1.0653760176230142e-19	1.2784512211476172e-18
ARNT2.2.S.C_besthit	0.00018593962470757463	0.0006185714247697533
USF1.0.PSM.A_besthit	4.840970214674915e-06	1.8344729234557572e-05
SRBP1.0.P.B_besthit	0.13267617011287688	0.26801118131018015
SRBP2.2.M.C_besthit	0.45860342056180564	0.7590677305850576
TFEB.1.P.C_besthit	2.0910292463284822e-13	1.5273604929703695e-12
TFEB.0.SM.B_besthit	1.637054354195397e-10	8.777397813983831e-10
TFEC.0.M.D_besthit	2.0967877085835497e-06	8.192100814931079e-06
GMEB1.2.SM.B_besthit	3.201211437328289e-45	1.2907284515307663e-43
CREB1.0.PSM.A_besthit	1.8076639940495944e-25	3.0883479762745612e-24
ATF6B.0.SM.D_besthit	2.126300530244717e-08	9.611259795904371e-08
CREB3.0.SM.D_besthit	3.0903450864460294e-05	0.00011085650701557286
XBP1.1.M.B_besthit	0.014775128956953551	0.03677365429286217
ATF3.1.P.B_besthit	0.5544273112705091	0.8870836980328146
ATF6A.0.SM.D_besthit	0.8652319722708556	0.9999999999999999
JUN.1.S.C_besthit	0.9999965467031406	0.9999999999999999
JUNB.1.S.C_besthit	0.7446886341646497	0.9999999999999999
ATF1.0.P.B_besthit	0.00020233709241389118	0.0006687075054203355
CREM.0.PSM.A_besthit	0.00048292373497131423	0.0015117612573015055
ZBED1.0.S.D_besthit	9.896036399456316e-08	4.281203729893548e-07
IRX5.0.M.D_besthit	0.6228092870876286	0.9613962655196472
PAX3.1.SM.B_besthit	0.006724917145765802	0.01765290750763523
TFCP2.1.SM.D_besthit	0.5315656531823792	0.8628312051656011
