	p-value	FDR
RUNX2.1.S.B_besthit	0.5734578954918215	1.0
RUNX2.0.P.B_besthit	0.2697406366064413	0.8557158203426194
RUNX1.0.P.B_besthit	0.9095097046061591	1.0
MAX.1.M.C_besthit	0.09611593244030937	0.3970690979501305
CLOCK.0.M.C_besthit	0.10037568691510226	0.40310236020088874
NPAS2.1.M.D_besthit	0.028156006892199943	0.15096412206030607
BMAL1.0.PSM.A_besthit	0.9958297792180436	1.0
USF2.0.PSM.A_besthit	0.9771337775116402	1.0
ARNT2.0.P.B_besthit	0.859792898494397	1.0
MLX.0.PM.A_besthit	0.8818825074477713	1.0
MLX.1.SM.B_besthit	0.9999899909382715	1.0
MLXPL.0.S.D_besthit	0.029795379860009633	0.15807233104678794
TFE3.0.PSM.A_besthit	0.9928715718463257	1.0
TFEC.1.SM.D_besthit	0.9558069464083457	1.0
MITF.0.P.B_besthit	2.2173886328091996e-08	5.197971492724822e-07
ARNT2.2.S.C_besthit	0.9999039460168531	1.0
USF1.0.PSM.A_besthit	0.999999949041608	1.0
SRBP1.0.P.B_besthit	0.30275381034287785	0.9304141488586002
SRBP2.2.M.C_besthit	0.9755491714802466	1.0
TFEB.1.P.C_besthit	0.04478515672125558	0.21599731088529006
TFEB.0.SM.B_besthit	0.9293175821163097	1.0
TFEC.0.M.D_besthit	0.9979561454677517	1.0
GMEB1.2.SM.B_besthit	6.157182670532413e-25	6.896044590996304e-23
CREB1.0.PSM.A_besthit	1.5147283708976282e-05	0.00020633056727902826
ATF6B.0.SM.D_besthit	0.5032687952857798	1.0
CREB3.0.SM.D_besthit	0.6091386271491472	1.0
XBP1.1.M.B_besthit	0.41841688984112757	1.0
ATF3.1.P.B_besthit	0.9972234644199591	1.0
ATF6A.0.SM.D_besthit	0.9999996731524557	1.0
JUN.1.S.C_besthit	0.9930499367917048	1.0
JUNB.1.S.C_besthit	0.9999999746887062	1.0
ATF1.0.P.B_besthit	0.9999999348955495	1.0
CREM.0.PSM.A_besthit	0.9999999999973115	1.0
ZBED1.0.S.D_besthit	0.18684114882509556	0.6472023299508466
IRX5.0.M.D_besthit	0.9972732101124836	1.0
PAX3.1.SM.B_besthit	0.030242486807546612	0.15877305573961972
TFCP2.1.SM.D_besthit	0.9515334002872333	1.0
TFCP2.0.SM.D_besthit	0.9643499718873423	1.0
UBIP1.0.SM.D_besthit	0.9693414702123032	1.0
TBX15.0.SM.D_besthit	0.24727730358020744	0.8119072378138408
TBX3.0.PSM.A_besthit	0.9715795046426677	1.0
SIX4.1.M.C_besthit	0.03188379617865157	0.16652262460145484
TBX18.0.M.D_besthit	0.9816946910322797	1.0
ZNF18.0.P.B_besthit	0.10986937535686739	0.4377404362044361
TBX6.0.PSM.A_besthit	0.8669269758181284	1.0
TBX2.0.SM.D_besthit	0.7883619802521817	1.0
TBX21.0.PSM.A_besthit	0.9852631474490898	1.0
REL.0.P.B_besthit	0.0002712826937021177	0.0027621510631488347
NFKB2.0.PSM.A_besthit	0.9815571794664086	1.0
NFKB1.0.PS.A_besthit	0.388183673231161	1.0
RELB.0.P.B_besthit	0.599719447893363	1.0
TF65.0.P.B_besthit	0.8514091307337053	1.0
ZN75D.0.P.B_besthit	0.8604761574171016	1.0
SUH.0.P.B_besthit	0.648311230572693	1.0
ZN550.0.P.C_besthit	0.6808552095234728	1.0
ZN580.0.SM.D_besthit	0.00011721502382710788	0.0012569440852949441
ZN580.1.SM.D_besthit	0.010899103164589611	0.0708793289671376
ZF69B.0.P.C_besthit	0.05196626532555085	0.24250923818590397
ZFP3.0.P.C_besthit	0.0030763961940113165	0.02461116955209053
ZNF77.0.P.C_besthit	0.8291098632248555	1.0
ZN480.1.P.C_besthit	0.11298964839364868	0.44637807056042966
ZN254.0.P.C_besthit	0.08195854271803363	0.347118533864613
ZN790.0.P.C_besthit	0.8717685012619802	1.0
ZN875.0.P.C_besthit	0.0012431014321947252	0.010991633716248096
ZN586.0.P.C_besthit	0.6441613816926924	1.0
Z585B.0.P.C_besthit	0.9995921461869287	1.0
ZN675.0.P.C_besthit	0.9999984585007908	1.0
ZN529.0.P.B_besthit	0.974377173400208	1.0
ZN823.0.P.C_besthit	0.871621547302285	1.0
RORG.0.M.C_besthit	0.9999980019757742	1.0
NR1D1.1.SM.B_besthit	0.8407328710501122	1.0
NR1D2.1.SM.B_besthit	0.9302885873299861	1.0
NR5A2.0.PSM.A_besthit	0.1576663103403783	0.5680795948337627
NR1H2.1.P.C_besthit	5.747720283790194e-08	1.2595004447957645e-06
NR1H3.0.P.B_besthit	0.30432799908626146	0.9324091886898224
NR2C1.0.S.C_besthit	0.9999999998861046	1.0
RARA.0.PSM.A_besthit	0.9999999392133371	1.0
ESR1.1.P.B_besthit	0.9842421793744736	1.0
ESR2.1.P.B_besthit	0.9999999999747444	1.0
RARG.1.PSM.A_besthit	0.9999316302639272	1.0
RARA.2.P.B_besthit	0.9998496796051121	1.0
RORB.0.SM.D_besthit	2.31047170979864e-09	6.488979106578401e-08
ERR3.0.PSM.A_besthit	2.6471282641845602e-12	1.0262712654992449e-10
ERR1.0.PSM.A_besthit	0.00031146151294718057	0.0030779725985368434
ERR2.0.PSM.A_besthit	0.00044365865110166844	0.0042591230505760165
THA.1.PS.A_besthit	0.98197999982725	1.0
THB.1.PSM.A_besthit	0.9992113632621564	1.0
NR2F6.1.PSM.A_besthit	0.9256358436354529	1.0
RXRA.1.S.C_besthit	0.9999960620373942	1.0
NR2F6.3.SM.B_besthit	0.1527657300362078	0.560339950134324
NR2C2.0.SM.B_besthit	0.9995381026683623	1.0
RARB.0.SM.B_besthit	0.9999897399189015	1.0
VDR.1.PS.A_besthit	0.5698460140024715	1.0
RARG.2.SM.B_besthit	0.8875365514668808	1.0
NR1H2.0.P.C_besthit	0.004182945884992666	0.031465742179646324
RXRB.2.PS.A_besthit	0.99999642641944	1.0
NR1H3.1.P.B_besthit	0.4501431792672425	1.0
RXRA.0.PS.A_besthit	0.9999999884405226	1.0
PPARD.0.PSM.A_besthit	0.8775524718520434	1.0
RXRB.0.P.C_besthit	0.9579125448943256	1.0
COT2.0.P.B_besthit	0.999999477972358	1.0
NR2F6.0.P.C_besthit	0.42820603904757776	1.0
NR2F6.2.SM.B_besthit	0.9999934752871484	1.0
RXRG.1.SM.B_besthit	0.9999984219384649	1.0
THB.2.SM.B_besthit	0.9990497912687342	1.0
RARA.3.P.B_besthit	0.030135259348383903	0.15877305573961972
RXRG.0.P.B_besthit	0.07231180214097055	0.3118653246735615
RXRG.2.P.B_besthit	0.8795733213754019	1.0
RARB.1.P.B_besthit	0.787407305521161	1.0
COT1.0.PSM.A_besthit	0.9999254397531788	1.0
COT2.1.P.B_besthit	0.9999147722964903	1.0
ZN296.0.S.D_besthit	2.4709753814590824e-11	8.895511373252697e-10
ZN768.1.P.B_besthit	0.3638675257063345	1.0
ZN140.0.P.B_besthit	0.8978888614535342	1.0
ZN140.1.SM.B_besthit	0.7741723942500088	1.0
LYL1.1.P.C_besthit	0.1752791932010592	0.6265298820803819
SPI1.0.P.B_besthit	0.0007056686424482712	0.006647794313905209
IRF8.0.P.B_besthit	0.15463427731877588	0.5627124604235598
ETV7.0.SM.B_besthit	0.46112424884446235	1.0
ERF.0.PS.A_besthit	0.061125324658665464	0.2710144113761024
ETV7.1.P.C_besthit	0.8045311293378528	1.0
OSR1.0.SM.D_besthit	5.674651216518525e-18	4.085748875893338e-16
