	FOV
medial_rectus	0.08742509125017872
longissimus_cervicis	0.04960298103170102
SCM	0.11135797581620677
RCP_major	0.04409157287519627
RCP_minor	0.050132143730480694
ADM	0.06564855358144095
abductor_pollicis	0.05362191720921283
adductor_pollicis	0.06979027758218614
biceps_brachii	0.06230516275396214
brachioradialis	0.07052006968695446
deltoideus	0.08601160967030119
interossei_dors	0.04764731908923159
FDP	0.0636901541132614
FPB	0.05931459364173042
palmaris_long	0.06668598505351242
pronator_quadratus	0.05883596900957211
pronator_teres	0.056086559714887074
lumbricales	0.045818918028877054
ODM	0.0512921103098406
opponens_pollicis	0.06269526623120103
interossei_palmares	0.054586424476281925
triceps_brachii	0.05619609814381954
SIBL	0.04816040131812538
anconeus	0.04174564824382676
super_rectus	0.0959842011649723
brachialis	0.06992554379794036
FCR	0.09047694925989735
FDS	0.07188494538920132
ECRB	0.04929696295397901
FCU	0.08381397122095424
FDMB	0.05621764722042577
diaphragm	0.09005089811211697
rectus_abdominis	0.05199767605733929
subscapularis	0.04452295328756206
intercostales	0.045216495325529626
infer_rectus	0.0938687459555323
latissimus_dorsi	0.05777138597811482
pectoralis_major	0.05032141705219484
psoas	0.05488077845778472
rhomboideus	0.04710028147491041
serratus_ant	0.03755192242770189
trapezius	0.08640985779591936
iliocostalis_lumborum	0.040943339090252384
longissimus_thoracis	0.06472557163537473
adductor_brev	0.08001539742096464
adductor_long	0.06983311126176017
super_oblique	0.0689369461928363
adductor_magnus	0.1322606719693673
biceps_femoris	0.04942509180974841
EDB	0.048850079124838186
EDL	0.07616973534741056
EHL	0.042339366801976475
FDL	0.05243597412829071
FHL	0.05038848592046841
gracilis	0.05796888235244735
gastrocnemius_caput_lat	0.05902913559587919
gastrocnemius_caput_mediale	0.05130057761410722
infer_oblique	0.08332475859536692
peroneus_brev	0.04936878657674271
peroneus_long	0.05194583391178531
rectus_femoris	0.04281619457027619
sartorius	0.042846455334380584
semimembranosus	0.04782389866147352
semitendinosus	0.04835556856951828
soleus	0.06710224313443158
tibialis_ant	0.07902894077625466
tibialis_post	0.05856031895983449
vastus_intermed	0.04284789174002124
pterygoideus_lat	0.06383104897012037
vastus_lat	0.04720923306238489
vastus_medial	0.06521702253711592
gluteus_max	0.06764144404115546
gluteus_med	0.07414294517892761
gluteus_min	0.048017211703353935
temporalis	0.06484991251002448
lingua	0.08971355917194268
