	medial_rectus	longissimus_cervicis	SCM	RCP_major	RCP_minor	ADM	abductor_pollicis	adductor_pollicis	biceps_brachii	brachioradialis	deltoideus	interossei_dors	FDP	FPB	palmaris_long	pronator_quadratus	pronator_teres	lumbricales	ODM	opponens_pollicis	interossei_palmares	triceps_brachii	SIBL	anconeus	super_rectus	brachialis	FCR	FDS	ECRB	FCU	FDMB	diaphragm	rectus_abdominis	subscapularis	intercostales	infer_rectus	latissimus_dorsi	pectoralis_major	psoas	rhomboideus	serratus_ant	trapezius	iliocostalis_lumborum	longissimus_thoracis	adductor_brev	adductor_long	super_oblique	adductor_magnus	biceps_femoris	EDB	EDL	EHL	FDL	FHL	gracilis	gastrocnemius_caput_lat	gastrocnemius_caput_mediale	infer_oblique	peroneus_brev	peroneus_long	rectus_femoris	sartorius	semimembranosus	semitendinosus	soleus	tibialis_ant	tibialis_post	vastus_intermed	pterygoideus_lat	vastus_lat	vastus_medial	gluteus_max	gluteus_med	gluteus_min	temporalis	lingua
RUNX2.1.S.B_besthit	0.006049388277535415	-0.00011106991979965982	0.005287176501355773	-0.0020250864677479907	-0.001145983425810937	0.0018904659147165146	-0.0010772112915987116	0.0025385621252431035	0.00030030142334764887	0.003145685266715867	-0.002171842181706696	0.0004561163757793258	-0.007144670468419042	0.0009644835451452017	-0.005058822708664886	-0.002175245766231419	0.0009942154816273154	-0.0007315023587349312	0.0008076387992568649	-0.0013365559195117251	-0.0017854390620088284	-0.0003682737229592465	0.001478800688195952	-0.0019675621976121436	0.008868360006725785	-0.0019184749219116086	-0.0017149592256854838	0.0007048193006061905	0.0034547970507591893	-0.002155861323045694	-0.0029309307120248137	0.009917433872704922	-0.0009492790509036728	-0.002806855234152521	0.0018850687190111414	0.0073963930707173775	-0.004794448322011437	-0.001222764263603622	0.0023628739933378856	-0.0019646675523692417	0.0006718623393172076	0.002023954881601355	0.0023644630848550876	4.781560065230269e-05	-0.0033154257821857306	-0.001375801548628262	0.0061413226459017135	-0.004982202617945135	0.0021491112748031125	0.0030446811684587557	0.0016915121783991894	0.0033438150901897376	0.006865760542673932	-0.0003705489132667462	-0.0019442762911750515	-0.003959671482683444	-0.0005211741166072535	0.008269378922286798	0.0004111298706519261	0.0012242259419324752	-0.0019107183451294457	0.0023779409543417075	-0.00551490835302919	-0.004884096779660414	0.0020098513031968092	-0.0007116211876866339	0.0002261179551894207	-0.003227455215225545	0.003228802687920646	-0.0006499918322346025	-0.0003643514017719007	0.0013924697117663907	-0.0005073193251548706	-0.003494135561311859	-0.0008773760806828689	0.0020296299713205043
RUNX2.0.P.B_besthit	0.0039986606911800344	-0.0008869073001422978	0.004790259719780452	-0.002865934483782684	0.002285341271760981	-0.0036762527663555637	-0.0020778184221469844	0.0018588940728419092	-0.004163886391270788	0.0026112844031555556	-0.0012394262470603967	0.000980269863839575	-0.00512127226551272	9.705704495787049e-05	-0.004027247904650649	-0.004630122873987231	-0.0039878758067545695	-0.0006763105944822685	-0.0006606543558779007	-0.00015839154275297955	-0.0023522620614608064	0.004659976167748422	-0.002123590509740714	6.38078031780765e-05	0.007154910281519358	0.001379188731330011	-0.001260322305534508	-0.002750746508363863	-0.0005644621342916475	-0.0018395544235523485	-0.0007695780118908835	0.004083554407970855	0.00033306588246504186	-0.00247723124703337	0.0054778184456109194	0.007076183364186836	-0.0014480491866220838	0.002248921404323316	0.0036029350956284572	0.0014061168952487575	-0.0029590371799902075	-0.0005629559605321537	0.0008963451530517682	0.004361978004028148	-0.0007555567758141086	-0.001717812605466162	0.002403952426108519	-0.002457296264669014	0.0005111077726682983	0.003541532371145826	0.005361804055216514	0.008187450096630527	0.00233855302743333	0.0018768047417293593	-0.004059576884591829	-0.003968250522759415	-0.004413173861005773	0.00458022666053362	0.0007946216029990483	0.002224255502725643	-0.0003819717299100229	-0.0014589148629348936	-0.0028756154151108374	-0.0013473062790666788	-0.001255577273089182	0.00038437903860766455	0.0026993601540825298	0.0004026444078026938	0.0019095767480203651	-0.0008564225446889728	-0.003978068612372173	0.0009884329645784354	0.000679824229454022	-0.002114734333483413	-0.0017726863974633514	0.006509763760350132
RUNX1.0.P.B_besthit	-0.0005681598057172023	0.0006537846721053286	0.001104904492820609	-0.0006551567261108022	-0.0011225725654812654	0.0011171746377031048	7.14316765907147e-05	0.003371548244367409	-0.001235276803233501	0.006310853276362528	0.0002884191251544386	0.0022516066303128975	-0.003080257423332857	0.0011278515588530962	-0.0023025048882367254	-0.0011145938232553754	-0.0005935932385856984	0.0016592472107087913	0.0007765502259709056	-0.0016786020617538685	-0.0027072335919407675	0.0012407033359321243	-0.0006747499674571023	-0.0007366352630058404	-0.0009636240594415851	0.0020119042364971766	-0.0005685071404162036	0.0008276712230564125	0.00337613153781838	0.0011692692633192322	-0.0016240208828015423	0.004999495019699653	-0.004570721880196425	-0.003711168088263681	0.0024358596492526797	0.004260474826480512	-0.005743028312390146	-0.002059130086426833	-0.0018891244127813894	0.0011746505335220117	-0.002829382155248115	-0.0007444772867825711	0.0004341245906925374	0.0015255240631497908	-0.0022579243808236874	-0.001648734259791007	0.0034061814804062654	-0.0034259228763391745	-7.226032203960816e-05	-0.000654839491776473	0.004015667788221877	0.004408714158692386	0.0017588288220484226	0.0020651472171429692	-0.0016297352056483818	-0.004335268112261855	0.00107953421347538	-0.0029051463212425594	0.0022656254907815598	0.002921309483611434	-0.0011773886829962482	0.00231172836285697	-0.0029867854036825427	-0.0014874537991388182	0.001409614179543871	-0.00046249787726532004	0.00129288242770063	-0.0004057362877732914	0.004130373619120197	-0.000693837364129375	-0.0034927551262833763	-0.002734187219579886	0.0036690133092528465	-0.003539138636677637	0.0006077085093070256	-6.651509531290348e-06
MAX.1.M.C_besthit	-0.01114874418102591	0.003812489839656724	0.0035006861303021825	0.0018267728250610153	0.004405919047742125	-0.0023131184751228125	-0.0011596725127376748	-0.007176063874261335	0.0010617007306528003	-0.0005167188716762975	0.003034223831580721	-0.004144624926450871	-0.0022332463749529545	-0.0017630650996852983	-4.561309601087873e-05	-0.004604831951637213	1.8049021056657414e-05	-0.002159494204467479	-0.0031100550478411933	-0.005408008012059602	-0.003941300457403939	-0.00016288223163524215	0.0025973667815193282	0.00022655830317254425	-0.011361247973305328	-0.002346350668253177	0.0016969631566414614	0.0018329064637254546	-0.0013283385297175358	-0.005621261126757843	-0.0061517711276291845	0.0032168726456234453	0.00022129903555569947	0.0020861925361965465	0.0038796076473544654	-0.014634690844234452	0.0022521058098665305	-0.0006108915423740262	0.0024625585503974274	0.0022967046960174643	0.0015339749357162695	0.004133185096940887	0.0017454823481134376	0.0003688911900000365	0.0011299824325885738	0.00022572676130626636	-0.007167537187464176	0.0022352004090425946	0.0013162982762318265	-0.000834000779868229	-0.00048659890795350663	0.002614317307243966	0.0008494879944918228	-0.0005842241447642076	-0.001055879815832654	0.0027071219230392156	0.0009800628517024545	-0.009755370236104855	0.003926488359257342	0.0005952437679934226	0.0011599945125900684	-0.00013418041019091603	-0.00018566257661375843	0.0006984832002995917	-0.002275896322994201	0.00640403306947107	0.005756838623038728	0.0011730947572090376	-0.005338203506830938	0.003914773554160933	0.0019409285005711182	0.005643618984829501	0.002886118306876613	0.005253110905332789	0.0025650412612383843	-0.008065245704078636
CLOCK.0.M.C_besthit	-0.013657304418596788	0.003981413164414095	-0.005395378049254624	-0.00030054545714578026	0.0020965295227822547	-0.0007983724265738685	0.0005566124179264787	0.0028251474227249857	0.0008715184917903557	-8.730510709026454e-05	0.003340599252691934	0.00022361203772602872	0.003935206926987033	-0.0006188790964798645	0.0018744308450657468	0.0007776714833242403	0.000331055082986094	-0.0001572773672446321	-0.001236162906456113	0.0009846609912751417	0.004659969772040478	-0.0003384168284562098	0.0023006221920665424	-0.0003645672183327644	-0.020196256335901133	0.0035951103867587894	0.003204842486621048	0.0018854213405651626	-0.00036977847074071553	-0.0020041399694048626	-4.744516364417697e-06	0.0005394439074849824	-0.004117734880418765	0.00019898218657506958	-0.00035844209698750526	-0.0189183500907681	0.005441133522188809	0.0025460467907965044	0.0013498469227822302	0.002755772468829296	0.0013552987520024625	-0.0006687380360766943	-0.0008200404879811152	-0.0055994173469416965	0.0028085238169140753	-0.0014230957690964485	-0.00872384956156223	-0.0003723326834875032	0.0005495453612615326	-0.006697027950272597	0.0015135323270391405	0.0005149864537990265	-0.002195527691793686	0.00036633719333185085	-0.0008143750363895048	0.0025448195976272934	0.0021529114564801406	-0.014315269593331134	0.0023850524881877584	-0.0035259629729301064	0.002659530935199861	0.001042004694440284	0.004530490855060731	0.0028405645129068974	0.002329125061024574	0.0010870485391716626	0.003039964836468521	0.003348921969204896	-0.0009736996435256263	0.004115201227097193	0.0008064829445623476	0.0016329139965281733	0.0031382719745575737	0.004391424804042711	0.00984951509761188	-0.01106997146181504
NPAS2.1.M.D_besthit	-0.010862428927438748	0.004173323520509919	-0.00941754947145139	0.000590698223902505	0.003949092812874547	-0.0025512133919493273	-0.0007073046016331439	0.0012028127478830167	0.0006117496591307317	-0.0010392175528323988	0.0037823183811148274	-0.001133156612143629	0.006119483086551061	-0.003051391400236848	0.0023605042366665603	0.00010641822113903934	-0.0005177776583513399	-0.00413617511229011	-0.002639111285283133	-0.0017059734612923172	0.001701942061438421	0.00015509928814863545	0.0036366732780732324	0.0010315526301642988	-0.010739289099188002	0.004475953123506293	0.0008522659190471212	0.0018018087182333	-0.00158006422649238	-0.0031291328486966	-0.0018093620351011066	-0.009412408820237021	-0.0036531073125895363	-0.000644980407214665	-0.002073511822391329	-0.015959298883865283	0.005387708807740165	0.00030139372837037335	0.0019065087371804865	0.002690167431544861	-0.0003228187908052626	-0.002053068049409423	0.00024554127004808914	-0.004275143209020876	0.002146494652195967	-0.0020614401272258604	-0.005425002863566381	-0.0010048239956692454	0.0005625524582314318	-0.0045463290381666166	0.0013378919316067704	0.0007095293288053398	-0.00021871314205548957	0.001117934141120073	-0.0015037723509115342	0.0043717667229327805	0.002492086902650214	-0.0073251333501125155	0.0013844529482270438	-0.0035256370027596145	0.002531761529281869	-0.0005398399898789976	0.002995141884912248	0.002296448159623076	0.0021609382591631513	0.0022378132439233723	0.005661056236914366	0.004336123426770768	-0.0009789457369151341	0.0036388447837366923	0.002018237810669837	0.005361935570409212	0.003645160437885922	0.004930663569886142	0.009967226458282106	-0.011001764113475379
BMAL1.0.PSM.A_besthit	-0.005169543766542974	-0.0001602925202320558	-0.0002703959624835863	0.0016101348786852494	-0.0013448499570164394	0.0010202114261538076	0.0006485566304411341	-0.00269516165438815	-0.0008204876552416024	-0.003159368016768924	-0.00036493595586846954	-0.0008392543920861286	-0.002460912494889713	0.0004247738683327444	-8.917098163396608e-05	-0.0029499659560853868	-0.0018469121977097672	-0.0008720563363876942	0.001287925799992677	6.744682633485978e-05	-0.0024338093900179397	-0.001422140485881834	-0.0016114635563128647	-0.000857997582666859	-0.006312741704731168	-0.0007027436703746834	-0.0003973200630944447	-0.0016129510864851505	-0.004144491833424591	-0.0002445365146533664	0.00148138980254837	0.0012458185422985631	-0.0010186837784065576	-0.00035564625063491944	-0.0011905560737459004	-0.006727054205058349	0.004722825088245547	0.0014043458271332527	0.0023351003303002968	0.0012387275124880826	0.0009503542182951573	0.0011628079276994644	-0.0002643887334716783	0.0013992135805633845	0.0024647578657265934	0.0008949225984751234	-0.001664574402233406	0.002127894478960055	-0.0002003230018016215	-0.0019009951643030594	0.0020205788126451824	0.0018581756650405442	-0.0036562594772486046	0.0022347623890646043	-1.2512681958101404e-05	0.0022896142340609266	0.0007666423613812484	-0.006557595090813408	0.00040480664640714365	0.001748142856214502	0.003264128990132222	0.002301516755090535	0.002782239088234115	0.004337651623571069	0.00037918584988198443	0.0030913730257905877	0.004946572578022216	0.003385186060918416	-0.004891292735651243	0.002945000105917679	-0.0009023073739268087	0.001776951454396265	0.0013450775205444462	0.001336708412457286	-0.0032589416230160966	-0.002686782338762359
USF2.0.PSM.A_besthit	0.004654887011803085	-0.0007860514790147135	-0.005106578690043429	0.0011341330762984585	0.0015121678273152341	-0.008289033564505862	-0.001573213280686488	0.0005088372389137537	0.0009681539552886154	0.0008335725041157323	0.002346362401351187	-0.0022219703376714405	0.004760433117762036	-0.001941458412886378	0.0034055409229428475	0.0018194848229164521	0.000894151727569477	-0.003513980760331811	-0.00541129372250281	-0.0014034918489902659	0.0008704725401509863	0.0013439788333477669	0.004200533198376969	0.0021183235684670474	0.005225743806839295	0.001143509551920008	0.0007906693883934209	-0.001271807180429684	-0.0008295918073029459	0.0033358513898834397	-0.0005273965734138645	-0.009130207012343875	0.0014513022303055843	0.0036623569046139288	-0.0033057244124063898	0.007949408269795575	-0.0008666101972802322	0.00019997638557883103	0.001250375812197758	0.000958047968173223	0.0020213412179198426	-0.0008159911896086406	0.0007011779691021081	0.003552143016395172	0.0005594885691105739	-0.00013835110881155497	0.0056384909475172135	0.001016484336143633	-0.00034068761892171114	-0.003946753531271784	-0.004127751110816026	-0.0024175644501432127	-0.0038362842425810665	-0.0012794507082907274	0.002241170538780389	-0.00034577827877001736	-0.0017887189820083734	0.005508428546136958	-0.0008663528234032766	0.00046424610313010675	-0.0005590170087948423	-0.00032169828688715215	0.0012816188009862385	0.0012098010953285946	7.502670044971151e-05	-0.002081248133610875	-0.0013419557907021064	0.002249384040711921	-0.005141089957072828	-0.0008683379439325782	0.00044533775987692063	-0.000700837195588071	-0.0027182845993724875	0.0015247207638508838	-0.003125743665243546	-0.0041101693734968275
ARNT2.0.P.B_besthit	-0.00854994648876037	0.0007892617321123603	0.004875054318713758	-0.0007186339742719891	-0.0007768591168253123	0.0019213950083411433	0.0025948345390047647	0.0037641943637930254	0.004288777904642868	0.002127250660592295	0.002812225317343464	0.0005116819464265436	-0.003208027119749356	0.002834016069800422	0.0021375896748572717	-0.0007866942206327653	0.0013083934230101256	8.168530208302315e-05	-0.0021060274245807893	0.0017103144179353219	-0.0012707187406008995	-0.00036537678890012046	-0.00021749802279868104	-0.0008714178666626574	-0.007797982549432227	0.0013091168097853938	0.0013527858079296334	0.0012289432731887968	0.003158183270950946	0.0004968653899845901	-0.004602792042770613	0.003028801477334314	-0.0025495188258081772	-0.004053435615341997	0.001148272558130575	-0.0042194596586424315	0.00037220080910597606	0.0015921737480406569	-0.003989522392517076	-0.0007067403096318081	0.000924417777300215	0.0021621798402730688	0.0032741431584671563	-0.0004921526570835174	0.0004527003183209725	0.0017554112676754394	-0.006303904994402771	-0.0003069284218870523	0.004031499042970032	-0.0006399704691809386	0.00168926050264184	0.00019544809870294372	-0.0011022839586170344	0.00022798714900495605	-0.0019423117833992922	-0.002011729332830616	-0.0027859808998038915	-0.006444583220090225	0.005882624633795368	0.0035759458082754926	0.0006628642953755213	-0.00017708788296635954	0.0011640015630458573	0.000460377348394933	-0.00037634624800759645	-0.003094780140246903	-0.003116345228439791	-0.0017372925701614618	0.0007176283322469387	0.0009036515772130659	-0.0005796198496055877	0.004489312764417466	0.00023269728766393352	0.0013543745134225846	-0.006040708822751237	-0.011533261171410085
MLX.0.PM.A_besthit	-0.0003408763863874826	-0.0011013204850202488	-0.0018873285862304116	0.00371893226374977	0.003999014501811169	-0.006797083453515388	-0.00248972199142267	-0.00399164586148793	-0.004696981362289463	-0.0025871291741092596	-0.0034972469781155853	-0.0014085394308389636	0.00479219112408595	-0.00039206531643914765	-0.0009485369757391595	0.0007762844549384742	-0.001435042142208365	-0.0018812281350922486	-0.0048905916941412685	-0.00011079886217002632	-1.3438386733250546e-05	0.0031536151508006387	0.0007592143723464539	0.002347655245435093	0.0010541428076835152	0.002813873371636567	-0.001591657000852955	0.001855396729177746	-0.004386528936227896	-0.0050041349327744926	-0.0036629085912523217	0.0009373172587198965	0.0010195231157186767	-0.0002987220351651862	0.0011519275538982659	0.0005500977515327522	-2.2740943588242375e-05	0.0032379150080299596	0.0001213515647631331	-0.0013888957066567344	0.001106798661101727	-0.0011450714391663232	-0.0003648315596563879	-0.0007159298934811357	0.0017105138609158632	0.0011141297281272917	-0.0011380514469824295	0.002283579848327696	-0.0016001535124979707	0.002729920193785959	-0.0006326826161371238	-0.0018904384974832793	0.0009738111853836925	0.0002284323878681583	-0.0016607238801545866	0.005203400142876666	0.004732189598743269	-0.0014920285004730361	-0.0005405096384876032	-0.0005984448057734528	0.0007273274736997886	-0.002779229376345062	0.0018432474149287102	0.0027649591644859895	-0.0007971731799461425	0.0015349335977857816	0.0026573068113148204	0.0018607707635146249	-0.00158926467890903	5.467319500288975e-05	0.0020742356746685964	0.0006977716585451194	-0.004030851134273789	0.002294293315026752	-0.00015272666591957765	0.0022851322150705027
